epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.6282,1.48548,2.53341,1.71698,0.25874,0.22343,0.19265,0.09458,2.10168,3.26017,2.58053,0.00055466,0.00055466,0.00055466
2,146.86,1.54949,2.15314,1.80409,0.39475,0.31045,0.27705,0.10104,2.18697,2.82074,2.43067,0.00081424,0.00081424,0.00081424
3,209.72,1.40149,1.916,1.70135,0.57021,0.49802,0.52691,0.31493,1.54584,1.73328,1.85893,0.000777464,0.000777464,0.000777464
