epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
176,39075.8,0.98595,0.69202,1.1532,0.77171,0.81324,0.82988,0.50356,1.41414,0.79355,1.47137,0.00533333,0.00533333,0.00533333
177,39321.4,0.97027,0.68456,1.15464,0.77324,0.79905,0.82749,0.50424,1.4132,0.79374,1.47049,0.00530667,0.00530667,0.00530667
178,39640.6,0.97153,0.6841,1.1587,0.76339,0.81324,0.82721,0.50355,1.41387,0.79528,1.47101,0.00528,0.00528,0.00528
179,39928.2,0.96835,0.68567,1.15355,0.76496,0.81324,0.82723,0.50312,1.41223,0.79725,1.4707,0.00525333,0.00525333,0.00525333
180,40213.9,0.9788,0.67579,1.15276,0.76135,0.81455,0.82809,0.503,1.41291,0.79892,1.47034,0.00522667,0.00522667,0.00522667
181,40363.6,0.9812,0.6925,1.16128,0.76387,0.81324,0.82798,0.50259,1.41316,0.798,1.47001,0.0052,0.0052,0.0052
182,40583.2,0.97066,0.67901,1.15085,0.76362,0.81087,0.82849,0.50405,1.41288,0.7987,1.46901,0.00517333,0.00517333,0.00517333
183,40764.2,0.96848,0.67857,1.14308,0.76041,0.80851,0.82555,0.50371,1.41272,0.79757,1.46902,0.00514667,0.00514667,0.00514667
184,41056.4,0.9615,0.67431,1.14622,0.77152,0.80851,0.82493,0.50333,1.4128,0.79822,1.46873,0.00512,0.00512,0.00512
185,41293.2,0.96576,0.6793,1.15565,0.7718,0.81087,0.8291,0.50323,1.41216,0.79898,1.46762,0.00509333,0.00509333,0.00509333
186,41620.9,0.96213,0.68125,1.1502,0.7894,0.79669,0.82786,0.50194,1.4139,0.79891,1.46908,0.00506667,0.00506667,0.00506667
187,41899.2,0.96105,0.6721,1.14602,0.7859,0.79669,0.82761,0.50152,1.4138,0.79821,1.46917,0.00504,0.00504,0.00504
188,42190.1,0.9503,0.6634,1.13626,0.78703,0.79669,0.82649,0.50127,1.41352,0.79937,1.46795,0.00501333,0.00501333,0.00501333
189,42479,0.95253,0.67249,1.13978,0.78572,0.79669,0.8268,0.50086,1.41362,0.79912,1.46789,0.00498667,0.00498667,0.00498667
190,42771.9,0.95719,0.66677,1.13927,0.78134,0.79433,0.82633,0.50222,1.41487,0.80067,1.46938,0.00496,0.00496,0.00496
191,43010.1,0.95415,0.67399,1.14274,0.77795,0.79669,0.82643,0.49955,1.4146,0.79986,1.46871,0.00493333,0.00493333,0.00493333
192,43306.5,0.95463,0.667,1.14149,0.77212,0.80851,0.82682,0.50033,1.41492,0.80046,1.46911,0.00490667,0.00490667,0.00490667
193,43545.4,0.94375,0.66091,1.13751,0.77356,0.80615,0.82783,0.50072,1.41367,0.79842,1.46862,0.00488,0.00488,0.00488
194,43792.9,0.93648,0.66467,1.13408,0.77115,0.81256,0.82841,0.50024,1.4136,0.79897,1.46898,0.00485333,0.00485333,0.00485333
195,44026.5,0.94446,0.65467,1.13273,0.77649,0.8131,0.82831,0.50039,1.41439,0.79807,1.46952,0.00482667,0.00482667,0.00482667
196,44388.8,0.94512,0.66917,1.1367,0.77681,0.81456,0.82872,0.49985,1.41461,0.79768,1.46915,0.0048,0.0048,0.0048
