epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9816.29,1.37387,1.08034,1.43901,0.73887,0.7305,0.78174,0.45245,1.4772,0.96447,1.48537,0.00890667,0.00890667,0.00890667
43,9980.98,1.36967,1.0606,1.43525,0.72314,0.79196,0.81639,0.46332,1.48466,0.92709,1.50256,0.00888,0.00888,0.00888
44,10208.4,1.35763,1.06892,1.4271,0.71978,0.82506,0.83309,0.47803,1.4489,0.91123,1.49443,0.00885333,0.00885333,0.00885333
45,10342,1.35968,1.06176,1.43402,0.73302,0.75887,0.80143,0.45926,1.46612,0.9741,1.5051,0.00882667,0.00882667,0.00882667
46,10565.8,1.35467,1.0519,1.4268,0.78918,0.76991,0.83774,0.47971,1.42589,0.91526,1.44881,0.0088,0.0088,0.0088
47,10714.8,1.34158,1.04357,1.41505,0.77553,0.76596,0.83981,0.47728,1.41073,0.91668,1.45064,0.00877333,0.00877333,0.00877333
48,10936.4,1.33072,1.0399,1.41549,0.73239,0.81521,0.8241,0.46955,1.42431,0.90007,1.43902,0.00874667,0.00874667,0.00874667
49,11132.1,1.33644,1.02342,1.40369,0.75377,0.7896,0.82582,0.47579,1.42352,0.90723,1.43969,0.00872,0.00872,0.00872
50,11370.9,1.33232,1.0252,1.40373,0.7486,0.77436,0.8146,0.46589,1.45797,0.92671,1.48288,0.00869333,0.00869333,0.00869333
51,11603.3,1.32327,1.01826,1.39848,0.75865,0.78029,0.82595,0.47177,1.42945,0.90357,1.44873,0.00866667,0.00866667,0.00866667
52,11842.2,1.3096,1.00774,1.38664,0.78147,0.80311,0.84782,0.48101,1.4347,0.86909,1.45434,0.00864,0.00864,0.00864
53,12078.2,1.31494,1.00592,1.39304,0.79434,0.76359,0.824,0.46106,1.46898,0.90133,1.49399,0.00861333,0.00861333,0.00861333
54,12317.8,1.31274,1.00023,1.39472,0.80997,0.76359,0.85229,0.49512,1.41413,0.85573,1.44848,0.00858667,0.00858667,0.00858667
55,12528.3,1.30712,0.99766,1.38094,0.74231,0.77635,0.82528,0.47796,1.43493,0.90663,1.45887,0.00856,0.00856,0.00856
56,12771,1.28982,0.98811,1.37105,0.75789,0.76963,0.81017,0.46084,1.44233,0.92974,1.46085,0.00853333,0.00853333,0.00853333
57,12980.8,1.29395,0.98808,1.37036,0.77067,0.7896,0.83117,0.48211,1.44538,0.89109,1.45674,0.00850667,0.00850667,0.00850667
58,13220.1,1.28464,0.97229,1.37115,0.74782,0.81324,0.82562,0.4672,1.45941,0.88794,1.48735,0.00848,0.00848,0.00848
59,13428.9,1.28664,0.97865,1.37319,0.74089,0.80142,0.82458,0.47536,1.43627,0.88291,1.46702,0.00845333,0.00845333,0.00845333
60,13659.4,1.27815,0.97559,1.36985,0.77126,0.79433,0.8396,0.49332,1.40618,0.85891,1.43908,0.00842667,0.00842667,0.00842667
61,13822.6,1.27078,0.95554,1.3544,0.7552,0.81087,0.83288,0.4831,1.39744,0.85779,1.43762,0.0084,0.0084,0.0084
62,13991.5,1.26936,0.96353,1.35775,0.76836,0.8312,0.84742,0.48686,1.39809,0.85578,1.44177,0.00837333,0.00837333,0.00837333
63,14232.2,1.26355,0.94595,1.36041,0.74499,0.82188,0.82579,0.47783,1.41661,0.89375,1.46492,0.00834667,0.00834667,0.00834667
64,14413.9,1.27408,0.96299,1.36936,0.75434,0.80615,0.82705,0.48269,1.39345,0.84986,1.44239,0.00832,0.00832,0.00832
65,14650.5,1.26215,0.95109,1.3579,0.77179,0.82349,0.85272,0.48819,1.43067,0.85864,1.45988,0.00829333,0.00829333,0.00829333
66,14800.1,1.25703,0.95187,1.3451,0.75515,0.78744,0.83065,0.48538,1.39823,0.85111,1.42966,0.00826667,0.00826667,0.00826667
67,14979.8,1.2506,0.94092,1.34759,0.70438,0.82742,0.81159,0.48577,1.38971,0.85365,1.43779,0.00824,0.00824,0.00824
68,15127,1.24554,0.93409,1.33962,0.7548,0.80378,0.83438,0.49446,1.37717,0.86897,1.4101,0.00821333,0.00821333,0.00821333
69,15335.9,1.24429,0.9255,1.34126,0.75237,0.81087,0.83297,0.4917,1.4058,0.83693,1.44161,0.00818667,0.00818667,0.00818667
70,15482.7,1.2392,0.91399,1.33771,0.80552,0.7565,0.84224,0.49614,1.3978,0.86442,1.43853,0.00816,0.00816,0.00816
71,15692.4,1.23805,0.91954,1.33369,0.76237,0.80142,0.83231,0.49368,1.40346,0.84934,1.4354,0.00813333,0.00813333,0.00813333
72,15866.9,1.22825,0.92059,1.33245,0.78002,0.80615,0.84255,0.49711,1.38268,0.84833,1.41611,0.00810667,0.00810667,0.00810667
73,16104.7,1.24354,0.92236,1.34254,0.74213,0.82742,0.83703,0.48874,1.40424,0.85384,1.43173,0.00808,0.00808,0.00808
74,16348.8,1.22941,0.90795,1.33385,0.77528,0.84005,0.83757,0.48605,1.39477,0.84482,1.43874,0.00805333,0.00805333,0.00805333
75,16588.2,1.21987,0.90337,1.3295,0.75046,0.82471,0.83809,0.49179,1.40077,0.84121,1.4286,0.00802667,0.00802667,0.00802667
76,16803.5,1.21934,0.90578,1.32222,0.78402,0.79669,0.83672,0.48803,1.40448,0.83963,1.43538,0.008,0.008,0.008
77,17013,1.22221,0.90682,1.3179,0.77057,0.79669,0.83814,0.49354,1.39993,0.84169,1.42775,0.00797333,0.00797333,0.00797333
78,17187.4,1.221,0.91053,1.32003,0.78248,0.79196,0.81841,0.49037,1.40927,0.84905,1.43174,0.00794667,0.00794667,0.00794667
79,17421.8,1.20741,0.90199,1.31887,0.7674,0.81115,0.83226,0.48938,1.3983,0.85153,1.42914,0.00792,0.00792,0.00792
80,17557,1.20139,0.89176,1.30826,0.76975,0.79433,0.84001,0.49869,1.3714,0.82258,1.41598,0.00789333,0.00789333,0.00789333
